labels, track_id, stationary, pos_x, pos_y, pos_z, dim_x, dim_y, dim_z, yaw, vehicle_state, intended_actions, potential_destination,right turn/left turn/go forward/u turn/lane change not possible/none of the above
Car,13f222fd-065c-4745-b441-44dd25566cbb,dynamic,62.00006728337817,-38.336447171898804,-4.559319197677118,1.86,4.43,1.86,-1.5854935651826694,Other moving,None,None,-1.-1.-1.-1.-1.-1
Car,1b4434f1-db4f-4372-87aa-0fe03b4ba498,dynamic,25.654233430847395,37.30605269896299,1.797588922698846,1.815,4.741,2.193,-2.7691693867565355,Stopped,None,None,-1.-1.-1.-1.-1.-1
Car,1e095ea8-494b-438a-9590-aadad8c8f966,dynamic,32.66195544430069,17.342831854790763,0.46016800579604544,1.847,4.2,2.16,-2.7866346719867647,Stopped,None,None,-1.-1.-1.-1.-1.-1
Car,3166238b-3403-4def-ac85-38b3b575b087,dynamic,30.26831222178195,23.79629022612928,0.7131900852494767,1.747,4.2,1.736,-2.804100039143287,Stopped,None,None,-1.-1.-1.-1.-1.-1
Truck,3815ffa1-aecc-423b-a0a5-fa36569cfe9d,dynamic,20.50116215547573,24.26092885276937,1.2358654423194224,2.27,4.934,3.056,0.24213903645017346,Other moving,None,None,-1.-1.-1.-1.-1.-1
Car,392d037a-bb23-4395-96ca-71c7a38d0631,dynamic,13.092547995655945,-3.8673831293335716,-1.0548146463010393,1.665,4.124,1.87,-1.5180495095022577,Stopped,None,None,1.0.0.0.0.0
Car,39fa0968-6430-40e5-842f-16be854563e6,dynamic,28.458173794772616,17.82192848747826,0.2026543952072104,1.826,4.494,1.848,-2.7691693867565355,Stopped,None,None,0.0.0.0.0.1
Car,44d14800-ec4e-4add-a25b-2be7c1fc5bf0,dynamic,36.131806657179794,-35.33464802124198,-4.2819583601549365,1.86,4.468,1.86,-1.6000293316722007,Other moving,None,None,-1.-1.-1.-1.-1.-1
Bicyclist,5745115c-5e71-4cac-9fb5-29b95b2c87be,dynamic,52.02683063990773,6.182789160552366,-1.1083582838591406,0.734,1.987,1.799,2.4722502279151275,Stopped,None,None,0.0.0.0.0.1
Car,72162541-bcac-4fd4-ae43-e0460b6d4c16,dynamic,43.0514324065646,0.5911778060336887,-1.1497105863184305,1.884,3.788,1.86,-1.5599109865819127,Other moving,None,None,0.0.0.0.0.1
Car,87667b9e-1304-4dab-b772-3b059c00c2b0,dynamic,27.824872909292342,30.516201189807575,1.231648344337537,1.917,5.059,2.113,-2.7691693867565355,Stopped,None,None,-1.-1.-1.-1.-1.-1
Car,879140ef-d742-4d2f-b29b-795079245270,dynamic,44.525778221272475,-38.196659910782515,-4.575759866843114,1.86,4.18,1.86,-1.5913078528387892,Other moving,None,None,-1.-1.-1.-1.-1.-1
Pedestrian,8f62a01b-8bfe-4bde-87f7-52bb205d4cb5,dynamic,72.57864813143361,9.50239361355525,-1.8520740028095708,0.879,0.776,1.817,-1.5600051760046494,None,Moving,None,-1.-1.-1.-1.-1.-1
Pedestrian,9abd7efb-f4b6-4a67-b269-188213a22d79,dynamic,44.89774416574076,10.031532757152238,-0.6637216102918749,0.76,1.187,1.842,1.5263423209080238,None,Crossing the road,None,0.0.0.0.0.0
Bicyclist,aa9109e4-98ab-407d-bdef-007f21511603,dynamic,48.59301020029548,8.63599344731287,-0.6681902296786374,0.87,1.91,1.701,-2.8525210345792695,Other moving,None,None,0.0.0.0.0.1
Car,c5c2bb9d-a801-48d6-9942-ba3b07664b43,dynamic,51.1137133084826,-35.787677680681846,-3.194490558646906,1.86,4.367,1.86,-1.5913078528387892,Other moving,None,None,-1.-1.-1.-1.-1.-1
Car,cd1720cb-8b0e-4ef7-9cd6-761768382174,dynamic,5.802763385205662,-37.492504814561265,-3.8454663599465944,1.86,4.18,1.86,-1.5599109865819119,Other moving,None,None,-1.-1.-1.-1.-1.-1
Truck,cd180a7d-646d-43c1-9bb9-b75fa7fbaf64,dynamic,25.44321831593889,-37.305263008470924,-4.126826662563997,2.285,6.698,2.35,-1.597970185230337,Other moving,None,None,-1.-1.-1.-1.-1.-1
Car,e8395eb0-46b8-4e5b-8d49-4b82cc6d2d0b,dynamic,9.380629839190593,-34.69366548002357,-3.9139281514353597,1.86,4.18,1.86,-1.5599109865819119,Other moving,None,None,-1.-1.-1.-1.-1.-1
