labels, track_id, stationary, pos_x, pos_y, pos_z, dim_x, dim_y, dim_z, yaw, vehicle_state, intended_actions, potential_destination,right turn/left turn/go forward/u turn/lane change not possible/none of the above
Car,0ec55a89-0353-4221-b883-cca09785f9e7,dynamic,26.828063943834053,18.42125077787782,-0.28318375687780173,1.717,4.2,1.588,-2.791872140747668,Stopped,None,None,-1.-1.-1.-1.-1.-1
Car,13f222fd-065c-4745-b441-44dd25566cbb,dynamic,59.254373261963266,-38.9741340281181,-5.103614440609045,1.86,4.43,1.86,-1.5830408324263225,Other moving,None,None,-1.-1.-1.-1.-1.-1
Car,1b4434f1-db4f-4372-87aa-0fe03b4ba498,dynamic,16.730987385052394,36.97654717775999,1.6979753681350696,1.815,4.741,2.193,-2.7744013413195727,Stopped,None,None,-1.-1.-1.-1.-1.-1
Car,1e095ea8-494b-438a-9590-aadad8c8f966,dynamic,23.637270870174973,16.892110405948905,0.3480961208518455,1.847,4.2,2.16,-2.7744013413195727,Stopped,None,None,-1.-1.-1.-1.-1.-1
Car,2404b21d-9135-40fe-944e-0b9d2e0685bf,dynamic,24.89209692637813,-10.913612453907302,-1.8732595034333093,1.753,4.641,1.781,0.38012768775991723,Stopped,None,None,0.0.0.0.0.1
Car,3166238b-3403-4def-ac85-38b3b575b087,dynamic,21.359796030874172,23.30436873995087,0.5625242308892575,1.747,4.2,1.736,-2.791872140747668,Stopped,None,None,-1.-1.-1.-1.-1.-1
Truck,3815ffa1-aecc-423b-a0a5-fa36569cfe9d,dynamic,10.11134935165672,28.69442433278996,2.023446546040172,2.27,4.934,3.056,0.2718067541066436,Other moving,None,None,-1.-1.-1.-1.-1.-1
Car,392d037a-bb23-4395-96ca-71c7a38d0631,dynamic,3.7425967731891703,-4.244564286780274,-1.0751932061874787,1.665,4.124,1.87,-1.5268582828179693,Stopped,None,None,1.0.0.0.0.0
Car,39fa0968-6430-40e5-842f-16be854563e6,dynamic,19.472724328516037,17.290245642463535,0.1744717106957594,1.826,4.494,1.848,-2.7744013413195727,Stopped,None,None,-1.-1.-1.-1.-1.-1
Car,44d14800-ec4e-4add-a25b-2be7c1fc5bf0,dynamic,32.9419597185009,-35.75786146776343,-4.173737924437546,1.86,4.468,1.86,-1.5878842709681447,Other moving,None,None,-1.-1.-1.-1.-1.-1
