labels, track_id, stationary, pos_x, pos_y, pos_z, dim_x, dim_y, dim_z, yaw, vehicle_state, intended_actions, potential_destination,right turn/left turn/go forward/u turn/lane change not possible/none of the above
Car,13f222fd-065c-4745-b441-44dd25566cbb,dynamic,62.77012050552055,-37.954937679631726,-4.650072991395009,1.86,4.43,1.86,-1.5832157930202115,Other moving,None,None,-1.-1.-1.-1.-1.-1
Car,1e095ea8-494b-438a-9590-aadad8c8f966,dynamic,34.91509028821223,17.506546205943483,0.43522875018548024,1.847,4.2,2.16,-2.7822678531172564,Stopped,None,None,-1.-1.-1.-1.-1.-1
Car,3166238b-3403-4def-ac85-38b3b575b087,dynamic,32.45879150704576,24.014119878326348,0.8664933976463876,1.747,4.2,1.736,-2.7997311702659484,Stopped,None,None,-1.-1.-1.-1.-1.-1
Truck,3815ffa1-aecc-423b-a0a5-fa36569cfe9d,dynamic,23.02039134042599,23.28910524338784,1.190037944620534,2.27,4.934,3.056,0.2535032214544017,Other moving,None,None,-1.-1.-1.-1.-1.-1
Car,392d037a-bb23-4395-96ca-71c7a38d0631,dynamic,15.428615331307714,-3.7400797344840937,-1.0420893947933463,1.665,4.124,1.87,-1.517321175018958,Stopped,None,None,1.0.0.0.0.0
Car,39fa0968-6430-40e5-842f-16be854563e6,dynamic,30.68686993576088,17.976270956416066,0.24084945625310922,1.826,4.494,1.848,-2.7648046955006325,Stopped,None,None,0.0.0.0.0.1
Car,44d14800-ec4e-4add-a25b-2be7c1fc5bf0,dynamic,36.94766521314291,-35.01437149774329,-4.394203487366401,1.86,4.468,1.86,-1.600174210390226,Other moving,None,None,-1.-1.-1.-1.-1.-1
Bicyclist,5745115c-5e71-4cac-9fb5-29b95b2c87be,dynamic,54.26128570464242,6.423563846677973,-0.9200818907764992,0.734,1.987,1.799,2.476577271064648,Stopped,None,None,0.0.0.0.0.1
Car,72162541-bcac-4fd4-ae43-e0460b6d4c16,dynamic,42.833570744696814,0.7717375241829512,-1.1591697712463989,1.884,3.788,1.86,-1.55220639434248,Other moving,None,None,0.0.0.0.0.1
Car,78dec780-9bc6-4a6f-b6b6-ce016b550ae1,dynamic,2.3659974383539897,-35.42801462371674,-4.058380202795396,1.86,4.885,1.929,-1.5836034127043455,Other moving,None,None,-1.-1.-1.-1.-1.-1
Car,879140ef-d742-4d2f-b29b-795079245270,dynamic,45.57685651083487,-37.83938939845903,-4.528246049536329,1.86,4.18,1.86,-1.5870919924952354,Other moving,None,None,-1.-1.-1.-1.-1.-1
Pedestrian,8f62a01b-8bfe-4bde-87f7-52bb205d4cb5,dynamic,74.5161839578547,9.53964092278729,-1.8260760451532545,0.879,0.776,1.817,-1.5296251549632827,None,Moving,None,-1.-1.-1.-1.-1.-1
Pedestrian,9abd7efb-f4b6-4a67-b269-188213a22d79,dynamic,47.30224781440286,10.26759901507773,-0.5856012989390555,0.76,1.187,1.842,1.5315304736030533,None,Moving,None,0.0.0.0.0.0
Bicyclist,aa9109e4-98ab-407d-bdef-007f21511603,dynamic,50.810333269247835,9.084892912209432,-0.728582821322753,0.87,1.91,1.701,-2.7782929299322983,Other moving,None,None,0.0.0.0.0.1
Car,c5c2bb9d-a801-48d6-9942-ba3b07664b43,dynamic,51.83437507006184,-35.44907655314319,-3.145743976319753,1.86,4.367,1.86,-1.5870919924952354,Other moving,None,None,-1.-1.-1.-1.-1.-1
Car,cd1720cb-8b0e-4ef7-9cd6-761768382174,dynamic,6.698036988961341,-37.38442519515662,-3.9181197025398324,1.86,4.18,1.86,-1.5556949354087066,Other moving,None,None,-1.-1.-1.-1.-1.-1
Truck,cd180a7d-646d-43c1-9bb9-b75fa7fbaf64,dynamic,26.56120068997325,-37.09971787847213,-4.19561300088931,2.285,6.698,2.35,-1.5763114237935587,Other moving,None,None,-1.-1.-1.-1.-1.-1
Car,e8395eb0-46b8-4e5b-8d49-4b82cc6d2d0b,dynamic,10.682153193656863,-34.5829204252327,-3.806858336486118,1.86,4.18,1.86,-1.5556949354087066,Other moving,None,None,-1.-1.-1.-1.-1.-1
Car,fa721ea5-e4c2-418f-ac35-606faa8517a0,dynamic,30.316703845729197,-34.565150227738854,-4.1990584273665945,1.86,4.18,1.911,-1.5696491396311203,Other moving,None,None,-1.-1.-1.-1.-1.-1
Road_Entrance_Exit,1c23e0f5-74a2-448c-8212-992f8df0e447,dynamic,177.10306564355278,-36.63929041488312,1.577681366194855,1,1,1,-1.5624435291077097,None,None,None,0.0.0.0.0.0
Road_Entrance_Exit,2cf22eb9-04a7-4909-8509-a73f803da8ba,dynamic,182.02917670594036,-0.5705779318889768,6.936235240154248,1,1,1,-1.5984552029142338,None,None,None,0.0.0.0.0.0
Road_Entrance_Exit,7572d37d-74f3-40f4-8543-c17eaddc3df1,dynamic,-25.175291144798468,-36.48995349339516,-2.177943546967267,1,1,1,-1.5927452333831806,None,None,None,-1.-1.-1.-1.-1.-1
Road_Entrance_Exit,d334159f-a007-41e9-8c2b-daf8a5c3d850,dynamic,-24.73098455701607,-2.711418682610061,-0.5640901792064719,1,1,1,-1.5927452333831806,None,None,None,0.0.0.0.0.0
Road_Entrance_Exit,e0c423ce-9c0c-4d9e-8df7-030c0ef9f523,dynamic,43.15711341857521,-50.11426629696761,-5.145505714444245,1,1,1,0.3244691197414825,None,None,None,-1.-1.-1.-1.-1.-1
Road_Entrance_Exit,e93b90e5-b1f4-4422-ac52-a841d452f11d,dynamic,20.986803301017996,40.88932189353175,2.1915011511208053,1,1,1,0.3912633343163658,None,None,None,0.0.0.0.0.0
