labels, track_id, stationary, pos_x, pos_y, pos_z, dim_x, dim_y, dim_z, yaw, vehicle_state, intended_actions, potential_destination,right turn/left turn/go forward/u turn/lane change not possible/none of the above
Car,0ec55a89-0353-4221-b883-cca09785f9e7,dynamic,24.598807060819546,18.422583599339394,-0.013235178485496935,1.717,4.2,1.588,-2.792905191141528,Stopped,None,None,-1.-1.-1.-1.-1.-1
Car,13f222fd-065c-4745-b441-44dd25566cbb,dynamic,58.67065309208733,-39.13983810587389,-4.952132368423113,1.86,4.43,1.86,-1.5819881867512802,Other moving,None,None,-1.-1.-1.-1.-1.-1
Car,1b4434f1-db4f-4372-87aa-0fe03b4ba498,dynamic,14.573834086846702,36.91126102549829,1.590428409227455,1.815,4.741,2.193,-2.8103769770146365,Stopped,None,None,-1.-1.-1.-1.-1.-1
Car,1e095ea8-494b-438a-9590-aadad8c8f966,dynamic,21.422042474666107,16.76951524415379,0.3149854443359811,1.847,4.2,2.16,-2.7754335119191276,Stopped,None,None,-1.-1.-1.-1.-1.-1
Car,2404b21d-9135-40fe-944e-0b9d2e0685bf,dynamic,22.517694936597287,-11.067000358011146,-1.8049548409296874,1.753,4.641,1.781,0.36162464173948977,Stopped,None,None,0.0.0.0.0.1
Car,3166238b-3403-4def-ac85-38b3b575b087,dynamic,19.14348525294281,23.198305541728924,0.4914884107033455,1.747,4.2,1.736,-2.792905191141528,Stopped,None,None,-1.-1.-1.-1.-1.-1
Truck,3815ffa1-aecc-423b-a0a5-fa36569cfe9d,dynamic,7.488407948973723,29.97403774716131,1.6821651589314062,2.27,4.934,3.056,0.29523168320081633,Other moving,None,None,-1.-1.-1.-1.-1.-1
Car,392d037a-bb23-4395-96ca-71c7a38d0631,dynamic,1.5188627374142456,-4.290457957074607,-1.048898388763072,1.665,4.124,1.87,-1.5277399732397576,Stopped,None,None,-1.-1.-1.-1.-1.-1
Car,39fa0968-6430-40e5-842f-16be854563e6,dynamic,17.25971016721501,17.19716067097841,0.17431863494275635,1.826,4.494,1.848,-2.7754335119191276,Stopped,None,None,-1.-1.-1.-1.-1.-1
Car,44d14800-ec4e-4add-a25b-2be7c1fc5bf0,dynamic,32.32778221553264,-35.97742027620664,-4.1455665299630695,1.86,4.468,1.86,-1.584410055188347,Other moving,None,None,-1.-1.-1.-1.-1.-1
Pedestrian,4ab64275-275c-4f58-8ed5-39837a4a265d,dynamic,72.60604449975102,8.587667853901582,-2.4657691256909446,0.759,0.938,1.555,-1.553989143093206,None,Moving,None,-1.-1.-1.-1.-1.-1
Bicyclist,5745115c-5e71-4cac-9fb5-29b95b2c87be,dynamic,40.68874145464677,5.363522600812344,-0.8998726687177527,0.734,1.987,1.799,2.5006836327915853,Stopped,None,None,0.0.0.0.0.1
Car,72162541-bcac-4fd4-ae43-e0460b6d4c16,dynamic,44.243437483546764,-0.27884540463567575,-1.4813246729444536,1.884,3.788,1.86,-1.5870256806075795,Other moving,None,None,0.0.1.0.0.0
Car,87667b9e-1304-4dab-b772-3b059c00c2b0,dynamic,16.851947156728237,29.882560961091496,1.0218360724493054,1.917,5.059,2.113,-2.7754335119191276,Stopped,None,None,-1.-1.-1.-1.-1.-1
Car,879140ef-d742-4d2f-b29b-795079245270,dynamic,39.509252582607694,-39.03617343994056,-3.889407496995564,1.86,4.18,1.86,-1.5974882615222035,Other moving,None,None,-1.-1.-1.-1.-1.-1
Pedestrian,8f62a01b-8bfe-4bde-87f7-52bb205d4cb5,dynamic,62.748255183772606,8.285285145266174,-2.0478498759547987,0.879,0.776,1.817,-1.5580577621126952,None,Moving,None,-1.-1.-1.-1.-1.-1
Pedestrian,9abd7efb-f4b6-4a67-b269-188213a22d79,dynamic,31.737554868155947,9.516861385112646,-0.5357536817732287,0.76,1.187,1.842,1.5643011820026076,None,Crossing the road,None,0.0.0.0.0.0
Bicyclist,aa9109e4-98ab-407d-bdef-007f21511603,dynamic,37.649969446818254,6.090503476953655,-1.0192899629536079,0.87,1.91,1.701,-2.9461755078408065,Other moving,None,None,0.0.0.0.0.1
Car,c5c2bb9d-a801-48d6-9942-ba3b07664b43,dynamic,47.988191860182305,-36.57318197071393,-4.199024598783055,1.86,4.367,1.86,-1.5974882615222035,Other moving,None,None,-1.-1.-1.-1.-1.-1
Car,cd1720cb-8b0e-4ef7-9cd6-761768382174,dynamic,2.37572046789753,-37.77591569798271,-4.258514676042418,1.86,4.18,1.86,-1.566100891835229,Other moving,None,None,-1.-1.-1.-1.-1.-1
Truck,cd180a7d-646d-43c1-9bb9-b75fa7fbaf64,dynamic,20.370012393646284,-37.968031294879665,-5.691489444962692,2.285,6.698,2.35,-1.6041486334468607,Other moving,None,None,-1.-1.-1.-1.-1.-1
Car,e8395eb0-46b8-4e5b-8d49-4b82cc6d2d0b,dynamic,4.131109151904354,-35.03190834944915,-4.0560492734309435,1.86,4.18,1.86,-1.566100891835229,Other moving,None,None,-1.-1.-1.-1.-1.-1
Car,fa721ea5-e4c2-418f-ac35-606faa8517a0,dynamic,25.258762254854283,-35.36357811456347,-4.256794206914009,1.86,4.18,1.911,-1.5974882615222035,Other moving,None,None,-1.-1.-1.-1.-1.-1
Road_Entrance_Exit,1c23e0f5-74a2-448c-8212-992f8df0e447,dynamic,163.01642356900646,-38.82042557956393,0.32842889115337026,1,1,1,-1.5728473394474765,None,None,None,0.0.0.0.0.0
Road_Entrance_Exit,2cf22eb9-04a7-4909-8509-a73f803da8ba,dynamic,168.37001651279635,-2.76646303418302,5.3666346599239585,1,1,1,-1.608848155929474,None,None,None,0.0.0.0.0.0
Road_Entrance_Exit,7572d37d-74f3-40f4-8543-c17eaddc3df1,dynamic,-39.275946676726534,-36.57116279155988,-1.5150467050411376,1,1,1,-1.6031398398173387,None,None,None,-1.-1.-1.-1.-1.-1
Road_Entrance_Exit,d334159f-a007-41e9-8c2b-daf8a5c3d850,dynamic,-38.463349677971586,-2.7880456248560543,-0.16152329616499972,1,1,1,-1.6031398398173387,None,None,None,0.0.0.0.0.0
Road_Entrance_Exit,e0c423ce-9c0c-4d9e-8df7-030c0ef9f523,dynamic,28.878963360384184,-50.935413549511374,-5.025370906027827,1,1,1,0.31381494157411177,None,None,None,-1.-1.-1.-1.-1.-1
Road_Entrance_Exit,e93b90e5-b1f4-4422-ac52-a841d452f11d,dynamic,7.731716406635641,40.3487081175971,1.8310466528515432,1,1,1,0.38064161424692255,None,None,None,0.0.0.0.0.0
